"","Fire","Transect","Treated","Diameter","ScorchHt","CharHt","Slope","fake"
"53",1,3,0,0.038,1.816,3.391,1.837,1.10784747257954
"54",1,3,0,-0.133,0.269,3.162,1.837,0.0603457462911582
"55",1,3,0,-0.253,1.417,3.493,1.837,-0.166269795121532
"56",1,3,0,0.124,1.255,3.391,1.837,0.196687112587666
"57",1,3,0,-0.236,0.818,2.915,2.425,-1.49218985654888
"58",1,3,0,0.529,1.392,3.507,2.425,1.67483020267042
"59",1,3,0,-0.31,0.044,3.162,2.425,0.614769400438061
"60",1,3,0,-0.007,0.568,2.811,2.425,-1.29004415597241
"61",1,4,1,0.084,-0.592,2.236,1.395,1.02978765502174
"62",1,4,1,-0.367,-0.742,1.581,1.395,-1.0278452223679
"63",1,4,1,-0.104,-0.68,1.304,1.395,-0.250484750322216
"64",1,4,1,-1.486,-0.343,1.732,1.395,-1.03937842051387
"65",1,4,1,0.141,-0.655,1.095,0.512,-0.477429950569236
"66",1,4,1,-0.687,-0.904,0.548,0.512,1.48375383570042
"67",1,4,1,0.027,-0.53,1,0.512,1.0769358413464
"68",1,4,1,-0.236,-0.28,1.581,0.512,1.06961524086404
"69",1,4,1,0.181,-0.48,1.732,-0.37,-0.800130304992703
"70",1,4,1,-0.224,-0.106,2.236,-0.37,-1.0668818170547
"71",1,4,1,-0.007,-0.48,1.483,-0.37,-0.0350851170295144
"72",1,4,1,-0.413,-0.667,1.643,-0.37,1.20349338257674
"73",1,4,1,0.592,-1.054,0.224,-1.032,0.599652421160243
"74",1,4,1,-0.63,-1.041,0.447,-1.032,1.66849127686223
"75",1,4,1,-0.281,-0.293,2.55,-1.032,-1.68428751555238
"76",1,4,1,-0.732,-0.368,1.871,-1.032,-0.983613795614482
"77",1,4,1,-0.658,-1.466,0.447,-0.885,3.24107253737646
"78",1,4,1,-0.321,-1.029,1.225,-0.885,0.606960365359019
"79",1,4,1,-1.412,-1.466,0,-0.885,0.903739276393014
"80",1,4,1,-0.076,-1.466,0.316,-0.885,-0.467630430969098
"81",1,5,0,-1.298,-0.505,1.844,0.512,0.71319284850782
"82",1,5,0,1.46,1.28,2.966,0.512,0.817436727782161
"83",1,5,0,1.317,0.668,3.162,0.512,-0.168811683556335
"84",1,5,0,1.894,1.305,3.661,0.512,-0.102628476025568
"85",1,5,0,1.603,1.879,3.847,1.984,0.694517313112941
"86",1,5,0,0.592,2.203,3.521,1.984,0.945808231165708
"87",1,5,0,1.751,2.653,3.821,1.984,1.72840912206165
"88",1,5,0,1.751,2.877,3.479,1.984,-0.205867889898018
"89",1,5,0,1.911,2.291,4.359,0.807,-0.392957215386055
"90",1,5,0,1.763,2.927,3.391,0.807,-0.0370523115041039
"91",1,5,0,1.62,3.127,3.578,0.807,0.370561896990118
