"svl"
103.68
104.59
92.67
92.87
86.49
94.38
98.98
116.56
105.07
77.46
89.49
74.86
88.52
75.84
87.89
73.29
66.13
95.79
85.02
93.22
83.31
99.65
94.92
99.43
94.09
89.37
95.57
90.34
66.67
95.6
62.42
100.21
85.59
76.7
63.76
84.74
92.33
87.69
85.69
64.89
90.81
62.14
57.72
72.2
65.85
83.93
101.25
61.01
87
57.7
80.38
88.79
94.9
83.53
67
73.73
79.78
85.27
91.24
74.31
66.72
84
83.51
76.09
65.21
69.76
80.65
61.86
59.92
64.51
62.01
65.01
65.69
64.97
